case,world,train_seed,cond_idx,expert_steps,l1_expert,l1_conditional
A,0,0,0,500,0.01141698611746141,0.0396320752629169
A,0,0,1,500,0.011454213362338367,0.038029011838540155
A,0,0,2,500,0.012424987131313608,0.03886565545877021
A,0,0,3,500,0.008457534101493745,0.04261497562816284
A,0,0,4,500,0.008774969728667655,0.03923932728012616
A,0,0,5,500,0.008607492459501962,0.04052983565291539
A,0,0,6,500,0.08354749637390323,0.08713883071382388
A,0,0,7,500,0.09043142083525221,0.08530441742327616
A,0,0,8,500,0.07116418417840244,0.10651558926765561
A,0,1,0,500,0.009788252958328022,0.12050365125305837
A,0,1,1,500,0.009802451150094265,0.11307891993784544
A,0,1,2,500,0.01051843446939943,0.10686768705010169
A,0,1,3,500,0.010900695674036513,0.1133447429818079
A,0,1,4,500,0.010795049651551657,0.11131516275427886
A,0,1,5,500,0.010827320162090492,0.10690296060787666
A,0,1,6,500,0.07492562346256454,0.17624504150131318
A,0,1,7,500,0.07240544832690893,0.17808312961216796
A,0,1,8,500,0.06585475170431372,0.2148240394847094
A,0,2,0,500,0.01087729557798181,0.04316346872657186
A,0,2,1,500,0.010771936987428551,0.04332407734626152
A,0,2,2,500,0.011042029042312607,0.04771193472874373
A,0,2,3,500,0.00799006489486697,0.03901212988428045
A,0,2,4,500,0.008463100843498583,0.037381339490068284
A,0,2,5,500,0.00922788427642272,0.03990347438112972
A,0,2,6,500,0.10998932927921905,0.08814602234133648
A,0,2,7,500,0.0826773329576134,0.08722318745353892
A,0,2,8,500,0.06598904908418787,0.10982472213892926
A,100003,0,0,500,0.010971937290384239,0.04522736218483379
A,100003,0,1,500,0.010963972269969965,0.04177758803143868
A,100003,0,2,500,0.011307922759072143,0.04423001854705296
A,100003,0,3,500,0.010092941306044238,0.04515318153612574
A,100003,0,4,500,0.00985616205003885,0.04115555328666555
A,100003,0,5,500,0.009584130476984058,0.04220246900273874
A,100003,0,6,500,0.10065245385648057,0.08167375916807201
A,100003,0,7,500,0.11459741293316483,0.07983762062544907
A,100003,0,8,500,0.0878304854897098,0.08914624912422704
A,100003,1,0,500,0.01245378094884658,0.10503988913107073
A,100003,1,1,500,0.012485137403509487,0.10515944843340536
A,100003,1,2,500,0.01116670288579513,0.10887833944907432
A,100003,1,3,500,0.014146319375582531,0.11466181778015583
A,100003,1,4,500,0.014165410761533912,0.11108527954587569
A,100003,1,5,500,0.011699526574772932,0.1090576412405955
A,100003,1,6,500,0.07064942461958917,0.1997778981472964
A,100003,1,7,500,0.07405051374309043,0.20250313668996464
A,100003,1,8,500,0.08966782987357425,0.20226934596434448
A,100003,2,0,500,0.011357146579416694,0.04515375815816532
A,100003,2,1,500,0.011292810221197658,0.044159489891590686
A,100003,2,2,500,0.012159366046511536,0.04722751301020513
A,100003,2,3,500,0.011310404569718241,0.03726741906716874
A,100003,2,4,500,0.011200610091136948,0.036554295289762055
A,100003,2,5,500,0.01087723409506814,0.03974980922642656
A,100003,2,6,500,0.0937258240688886,0.08221960885306104
A,100003,2,7,500,0.09621153262161296,0.07411529903852088
A,100003,2,8,500,0.08734820180910974,0.09363885952191306
A,200006,0,0,500,0.012034163645420586,0.04408277638158768
A,200006,0,1,500,0.012836233039694087,0.04180239638168681
A,200006,0,2,500,0.011405869490976946,0.04543361340053722
A,200006,0,3,500,0.010081479646689843,0.04506910386102062
A,200006,0,4,500,0.009007049016904656,0.039168471687775236
A,200006,0,5,500,0.009164913865402805,0.042986258672181435
A,200006,0,6,500,0.0636427457188374,0.10184646464566605
A,200006,0,7,500,0.05810442325463065,0.08511964342422638
A,200006,0,8,500,0.06551232789877708,0.09488404726767044
A,200006,1,0,500,0.009852018166101855,0.06212576357013482
A,200006,1,1,500,0.010293165076264599,0.05375995078399334
A,200006,1,2,500,0.010293539823927942,0.054768332715868326
A,200006,1,3,500,0.01175179898556097,0.06897926058572443
A,200006,1,4,500,0.011410913694788681,0.0600152801039678
A,200006,1,5,500,0.010143568725130633,0.055255366348704094
A,200006,1,6,500,0.08555178704800041,0.10932116441716985
A,200006,1,7,500,0.08454504303526325,0.10250919060291475
A,200006,1,8,500,0.09506464087319288,0.11567619893292683
A,200006,2,0,500,0.011495728406336912,0.043010547429928304
A,200006,2,1,500,0.011113639614664432,0.043104259311538676
A,200006,2,2,500,0.010789219723276967,0.048532723017999976
A,200006,2,3,500,0.014218576472490915,0.04857712555270288
A,200006,2,4,500,0.015590717010988315,0.047866134814254335
A,200006,2,5,500,0.011490649233966246,0.052779478021561535
A,200006,2,6,500,0.06989657753043356,0.08539672627034157
A,200006,2,7,500,0.06049940794348975,0.08271840229738375
A,200006,2,8,500,0.07719090849606108,0.1270901530410916
A,300009,0,0,500,0.010897554803302258,0.044392178923911854
A,300009,0,1,500,0.010602535728123993,0.04230181253724373
A,300009,0,2,500,0.010905481475667857,0.044304151675684564
A,300009,0,3,500,0.007892638188025162,0.04896840881232938
A,300009,0,4,500,0.007435383050058296,0.0444066389857171
A,300009,0,5,500,0.007868044034856251,0.04814943046000622
A,300009,0,6,500,0.06767617652233351,0.10743270567964172
A,300009,0,7,500,0.056608984176699115,0.1165534122497898
A,300009,0,8,500,0.09758045424936168,0.12426903247931295
A,300009,1,0,500,0.011248383587204425,0.0683361387813769
A,300009,1,1,500,0.011099770057170156,0.06409415107107112
A,300009,1,2,500,0.010800257012411833,0.06523419965702659
A,300009,1,3,500,0.01096594455179272,0.05641469386773122
A,300009,1,4,500,0.011062125846198168,0.05198798983103742
A,300009,1,5,500,0.011689641675635711,0.05593656522142147
A,300009,1,6,500,0.05060655190651816,0.11958928629789423
A,300009,1,7,500,0.06294480544768147,0.12616200789928442
A,300009,1,8,500,0.06085385646530935,0.13268774642517558
A,300009,2,0,500,0.011012881233719823,0.05506699692417715
A,300009,2,1,500,0.010361231761520664,0.05286915364942241
A,300009,2,2,500,0.010922734106393104,0.05308682855219309
A,300009,2,3,500,0.009731263942804935,0.048103412800582786
A,300009,2,4,500,0.009217060843734628,0.041149247246287435
