case,world,train_seed,cond_idx,expert_steps,l1_expert,l1_conditional
B,0,0,0,500,0.037137087352675395,0.3349037990567246
B,0,0,1,500,0.03713741148119925,0.3377047801056299
B,0,0,2,500,0.032140116675227134,0.4276372334294155
B,0,0,3,500,0.18121757379534226,0.34979003710345014
B,0,0,4,500,0.18121758315468353,0.3307375426698988
B,0,0,5,500,0.15349096780653204,0.4556115786871824
B,0,0,6,500,0.08149227870795156,0.19939441657344464
B,0,0,7,500,0.0814924345057145,0.2171578042847445
B,0,0,8,500,0.08982026184479176,0.2653824843327746
B,0,1,0,500,0.050066462894272634,0.35686409598344115
B,0,1,1,500,0.05006744013444635,0.3281003734146053
B,0,1,2,500,0.03989675164544529,0.4069343308035316
B,0,1,3,500,0.1915895974923133,0.3630729550549364
B,0,1,4,500,0.19158957401946142,0.3686921614253885
B,0,1,5,500,0.14339258619359618,0.4393723265821599
B,0,1,6,500,0.04986488075948812,0.2052334548539949
B,0,1,7,500,0.04986513805846087,0.1922741729581185
B,0,1,8,500,0.07000295906956176,0.23418126680045762
B,0,2,0,500,0.053405784591870016,0.41146183657150315
B,0,2,1,500,0.053406183296257764,0.3584380483645046
B,0,2,2,500,0.024569328516787677,0.3825851375325655
B,0,2,3,500,0.20896324298229213,0.430382295780251
B,0,2,4,500,0.20896327466965256,0.3894107152638685
B,0,2,5,500,0.1575368564778189,0.4494749765454285
B,0,2,6,500,0.09802341886033195,0.2791853948375491
B,0,2,7,500,0.09802316768441963,0.2451497530452048
B,0,2,8,500,0.13336900401395146,0.32977031054707967
B,100003,0,0,500,0.04223335830884894,0.4071294249884073
B,100003,0,1,500,0.04223318943753582,0.41177084102829353
B,100003,0,2,500,0.0602108476886581,0.4787659667432851
B,100003,0,3,500,0.15866763014580557,0.36749997797054745
B,100003,0,4,500,0.15866769938597428,0.38392593888060966
B,100003,0,5,500,0.17419133151028499,0.4320344508356485
B,100003,0,6,500,0.11137853434258616,0.3921757531249152
B,100003,0,7,500,0.11137915788482847,0.41138640197108955
B,100003,0,8,500,0.117713640650259,0.44609114742415445
B,100003,1,0,500,0.08442067891682126,0.3776006961112255
B,100003,1,1,500,0.08442183721285358,0.3502046477967899
B,100003,1,2,500,0.08146473461390538,0.41378321082323277
B,100003,1,3,500,0.1632228419185615,0.3961960487586702
B,100003,1,4,500,0.1632228901224185,0.37195988925031537
B,100003,1,5,500,0.19931806065526414,0.40004100967506145
B,100003,1,6,500,0.07817715932365776,0.4188456196315357
B,100003,1,7,500,0.07817708553606,0.2987398599079104
B,100003,1,8,500,0.0660658668319441,0.3184822987238802
B,100003,2,0,500,0.067483937967794,0.37477949585950954
B,100003,2,1,500,0.06748409078453285,0.3373956803105861
B,100003,2,2,500,0.04691562106076417,0.36583798024688696
B,100003,2,3,500,0.1727771051227105,0.4722678970814397
B,100003,2,4,500,0.17277695929800382,0.4124096005991511
B,100003,2,5,500,0.188252395180318,0.38160201048749914
B,100003,2,6,500,0.06294002907043239,0.32167136896026227
B,100003,2,7,500,0.06294101006002037,0.2852425612792338
B,100003,2,8,500,0.11086481910406375,0.35296677100919244
B,200006,0,0,500,0.037697023379610575,0.3725588813677138
B,200006,0,1,500,0.03769765451906013,0.36527226110424516
B,200006,0,2,500,0.02224065937195993,0.43662245780929027
B,200006,0,3,500,0.1716859051498526,0.3689430261969098
B,200006,0,4,500,0.1716857195494254,0.35812388792743266
B,200006,0,5,500,0.17073682916242192,0.49663693397952996
B,200006,0,6,500,0.07276726062031251,0.17384440908160242
B,200006,0,7,500,0.0727672190695333,0.15739445305775773
B,200006,0,8,500,0.06509500606911524,0.25675352005129864
B,200006,1,0,500,0.06252823175656694,0.33313237067444207
B,200006,1,1,500,0.06252815720665018,0.30537493919973663
B,200006,1,2,500,0.03844906174089249,0.3756879012535978
B,200006,1,3,500,0.18143185371335618,0.3301332049376782
B,200006,1,4,500,0.1814318955059223,0.3190684336501376
B,200006,1,5,500,0.19235704895893974,0.511250770900425
B,200006,1,6,500,0.0697582436263504,0.30122809791864474
B,200006,1,7,500,0.0697586811803179,0.24879469798179096
B,200006,1,8,500,0.09277725561649205,0.22772809442560663
B,200006,2,0,500,0.03795446012168341,0.34737078008508554
B,200006,2,1,500,0.03795455764941641,0.33985314532391453
B,200006,2,2,500,0.03142888605232656,0.42682322643981946
B,200006,2,3,500,0.15396725471457579,0.3425708437616093
B,200006,2,4,500,0.1539672295424661,0.3346968053408171
B,200006,2,5,500,0.15774890414982973,0.4893339967785155
B,200006,2,6,500,0.06448879953983082,0.23231366340093845
B,200006,2,7,500,0.06448943633625721,0.19362793596019917
B,200006,2,8,500,0.0649016794343536,0.26748605991588115
B,300009,0,0,500,0.049634254861707444,0.39140562283672664
B,300009,0,1,500,0.06563302539326776,0.39569982491075795
B,300009,0,2,500,0.03175454258247847,0.5275859717420829
B,300009,0,3,500,0.15866434466222556,0.3561059302151698
B,300009,0,4,500,0.1537592579713567,0.34784629465042116
B,300009,0,5,500,0.18269980059305643,0.4920949243410884
B,300009,0,6,500,0.13612761128572454,0.14001623142733463
B,300009,0,7,500,0.1215970600070462,0.15796246598089433
B,300009,0,8,500,0.05020986918087199,0.26626579343895956
B,300009,1,0,500,0.05358293752869906,0.3557638536123874
B,300009,1,1,500,0.0633733181341258,0.32002337975406137
B,300009,1,2,500,0.041722769779188436,0.4433092019661529
B,300009,1,3,500,0.17206333738132534,0.29968580009795287
B,300009,1,4,500,0.16391941660085751,0.2940727288536165
B,300009,1,5,500,0.19025116453640717,0.45094740045577053
