case,world,train_seed,cond_idx,expert_steps,l1_expert,l1_conditional
C,0,0,0,500,0.01947256894037886,0.2562077995813137
C,0,0,1,500,0.019472538969874345,0.24902570778046174
C,0,0,2,500,0.022781176563181092,0.2555839796099776
C,0,0,3,500,0.1676991486140409,0.3149634929355468
C,0,0,4,500,0.1676990463743731,0.307271125934489
C,0,0,5,500,0.1614824190909913,0.2977834664104362
C,0,0,6,500,0.15033975906852445,0.36590294231138554
C,0,0,7,500,0.1503397901688448,0.3613032877197183
C,0,0,8,500,0.1714313052932167,0.3308711866231898
C,0,1,0,500,0.034489600268981825,0.21218954803627474
C,0,1,1,500,0.034489698707787356,0.20395773254252447
C,0,1,2,500,0.041850198497376,0.21357507130223036
C,0,1,3,500,0.1568490266102387,0.2711478904384216
C,0,1,4,500,0.1568490371328037,0.27415809437019295
C,0,1,5,500,0.1455603091414805,0.2867261862526482
C,0,1,6,500,0.1517294240268838,0.30555855725225745
C,0,1,7,500,0.15172944137757008,0.3129834459202413
C,0,1,8,500,0.16284285929110157,0.3246876456884318
C,0,2,0,500,0.018238589533448812,0.2145703072796203
C,0,2,1,500,0.01823859860295976,0.21584488964930668
C,0,2,2,500,0.01985735277322751,0.22162664705595952
C,0,2,3,500,0.16649442366096498,0.25191803256541345
C,0,2,4,500,0.16649449851751125,0.2682634237920298
C,0,2,5,500,0.17054598861047726,0.28589314075078875
C,0,2,6,500,0.1915517509215731,0.28275364511593337
C,0,2,7,500,0.19155173828161698,0.28378865481237836
C,0,2,8,500,0.17646478495626777,0.29750565890885605
C,100004,0,0,500,0.03733901749124439,0.26633349329656797
C,100004,0,1,500,0.034387299835067706,0.26533988676006826
C,100004,0,2,500,0.03364710126295629,0.27141839061896716
C,100004,0,3,500,0.1742739657671955,0.315136985491574
C,100004,0,4,500,0.17623386866856122,0.31574851297977125
C,100004,0,5,500,0.18669046478276174,0.3217160960517243
C,100004,0,6,500,0.1585691066572878,0.40562900765016263
C,100004,0,7,500,0.1733727356400236,0.40202679134940733
C,100004,0,8,500,0.17607311968332126,0.4080403480276693
C,100004,1,0,500,0.05398414185755422,0.23891983828258806
C,100004,1,1,500,0.048698639061300626,0.23008492300349306
C,100004,1,2,500,0.04853922218239502,0.22911246963541504
C,100004,1,3,500,0.1479207976230055,0.31663810548385835
C,100004,1,4,500,0.1699722893978528,0.30884543949885523
C,100004,1,5,500,0.1548846805017487,0.3181047295640551
C,100004,1,6,500,0.17081701151415937,0.39255535261621965
C,100004,1,7,500,0.1651098222870031,0.3788983004044814
C,100004,1,8,500,0.20443734258611607,0.4054368916842171
C,100004,2,0,500,0.028800589619029617,0.2684650061191225
C,100004,2,1,500,0.029243995649355415,0.2545609410544723
C,100004,2,2,500,0.03131705058895602,0.2530408881376244
C,100004,2,3,500,0.1933330887713402,0.31722819707431227
C,100004,2,4,500,0.19074327456327453,0.3090560557857613
C,100004,2,5,500,0.19147961181697243,0.3086433319987921
C,100004,2,6,500,0.17934742465987857,0.4303828618167764
C,100004,2,7,500,0.18186386692470669,0.40209791655865035
C,100004,2,8,500,0.182204071944633,0.4138871090521177
C,200006,0,0,500,0.023789055722190526,0.25065317746890176
C,200006,0,1,500,0.02378906562725371,0.2409126319179183
C,200006,0,2,500,0.02171539918637879,0.2368660018528788
C,200006,0,3,500,0.15285285014342115,0.2672165874528796
C,200006,0,4,500,0.15285284331995597,0.2798133409474715
C,200006,0,5,500,0.1524358395711352,0.2898279580304518
C,200006,0,6,500,0.16343239671772672,0.3535010333142897
C,200006,0,7,500,0.1634322696842353,0.36192061276430376
C,200006,0,8,500,0.15226326827466857,0.36419566128897995
C,200006,1,0,500,0.02590952511249539,0.19128679307847007
C,200006,1,1,500,0.025909504504350686,0.1841240423517957
C,200006,1,2,500,0.025486746491355343,0.18595044937782051
C,200006,1,3,500,0.21231907438376219,0.262592987209629
C,200006,1,4,500,0.21231911694001337,0.2683897343386953
C,200006,1,5,500,0.22726500698227897,0.2821030114858311
C,200006,1,6,500,0.20600092691889066,0.3179175730693109
C,200006,1,7,500,0.2060009542645398,0.3025069422912054
C,200006,1,8,500,0.188608591575267,0.31348910608924335
C,200006,2,0,500,0.021313974011366955,0.20569797911234514
C,200006,2,1,500,0.021314010372541,0.20284527559661758
C,200006,2,2,500,0.019837886269239307,0.20869604177362527
C,200006,2,3,500,0.16924808885628514,0.28210835474531215
C,200006,2,4,500,0.16924837962599093,0.28389790371961254
C,200006,2,5,500,0.16563227673310335,0.28261452775675366
C,200006,2,6,500,0.15744219827697364,0.3304841873261864
C,200006,2,7,500,0.1574423548283283,0.3403474172361932
C,200006,2,8,500,0.15997689001508075,0.3253493642353443
C,300009,0,0,500,0.022104703247999964,0.2701307682179104
C,300009,0,1,500,0.023343856845129584,0.2637202215656129
C,300009,0,2,500,0.023717663635844197,0.25797624526433427
C,300009,0,3,500,0.18565304243414998,0.3107509684123436
C,300009,0,4,500,0.1863263173723188,0.30669613210495106
C,300009,0,5,500,0.17139945499273773,0.31272148096839597
C,300009,0,6,500,0.1835823559343729,0.3577780469308981
C,300009,0,7,500,0.18567057351877453,0.35130207431198446
C,300009,0,8,500,0.1689672361292866,0.31175904893330186
C,300009,1,0,500,0.03660984566826613,0.2909101352424072
C,300009,1,1,500,0.03879391100184518,0.28470479348255284
C,300009,1,2,500,0.036057835773326614,0.29510467218387126
C,300009,1,3,500,0.15752091626089332,0.3470676134241014
C,300009,1,4,500,0.150517011936407,0.34148822577420035
C,300009,1,5,500,0.17221685955080793,0.3654938702789863
C,300009,1,6,500,0.17782843892366412,0.3671996038204842
C,300009,1,7,500,0.17803163779926964,0.3470494273280186
C,300009,1,8,500,0.1540959288864981,0.4088024783853351
C,300009,2,0,500,0.029281484928705435,0.23849683673322347
C,300009,2,1,500,0.029876912250043276,0.23445805205226122
C,300009,2,2,500,0.03207377470736139,0.24089065179462385
C,300009,2,3,500,0.16364166087654344,0.32752327679286697
C,300009,2,4,500,0.16349720831760312,0.3393110133709206
C,300009,2,5,500,0.15874420678780776,0.3434848418927686
C,300009,2,6,500,0.1492128074138647,0.340464655087113
C,300009,2,7,500,0.14864403766681653,0.3308559025643934
C,300009,2,8,500,0.16130598526808956,0.36532896518057584
