case,world,train_seed,cond_idx,expert_steps,l1_expert,l1_conditional
D,1,0,0,750,0.0022812798823359124,0.10722393559358379
D,1,0,1,750,0.002664949978783748,0.11278454891011609
D,1,0,2,750,0.0052856766449375665,0.09395569513461216
D,1,0,3,750,0.002772519763967982,0.12180739234740598
D,1,0,4,750,0.1449260385017071,0.2020514010511462
D,1,0,5,750,0.14712659270062595,0.32433694086915543
D,1,1,0,750,0.001960821456685128,0.08387368463195885
D,1,1,1,750,0.0021491692622286236,0.10277322764085159
D,1,1,2,750,0.0038980434878985895,0.10427404782668384
D,1,1,3,750,0.003762359845939654,0.12311438278007705
D,1,1,4,750,0.18368162048754225,0.203105794694878
D,1,1,5,750,0.19387133340407664,0.3728532143848614
D,1,2,0,750,0.003436948724786118,0.08056355239713256
D,1,2,1,750,0.00303256548968196,0.08749029438614035
D,1,2,2,750,0.00765027954873925,0.08728705491924674
D,1,2,3,750,0.006034540715709833,0.11916098441282642
D,1,2,4,750,0.1933645226823716,0.1774108274411007
D,1,2,5,750,0.14859498023390677,0.3940139829009766
D,100011,0,0,750,0.002654051977933931,0.09324733322305317
D,100011,0,1,750,0.002622225740842044,0.10482535096528459
D,100011,0,2,750,0.005903679924867856,0.0922975326076182
D,100011,0,3,750,0.0038042514949414236,0.13364004337256208
D,100011,0,4,750,0.17557792798814947,0.2598920600390365
D,100011,0,5,750,0.1489358774196342,0.4126565853308662
D,100011,1,0,750,0.002110106064997056,0.08015057611235701
D,100011,1,1,750,0.0021487655100041947,0.08944571274633245
D,100011,1,2,750,0.007857184098999291,0.10936838814892078
D,100011,1,3,750,0.003895522427597055,0.14106088586695617
D,100011,1,4,750,0.1804977714578885,0.22796732068805284
D,100011,1,5,750,0.16343907458581525,0.4603443759490508
D,100011,2,0,750,0.003977641800264662,0.06735090382792132
D,100011,2,1,750,0.0043586031501592504,0.08725294884902712
D,100011,2,2,750,0.006585249083957714,0.08661371607200039
D,100011,2,3,750,0.004939491316056066,0.13582667493188708
D,100011,2,4,750,0.13350468495031528,0.21099392767815472
D,100011,2,5,750,0.2130651755014479,0.4071644819267294
D,200009,0,0,750,0.0037389015332793896,0.08557995603340068
D,200009,0,1,750,0.0034806379303194274,0.10109509376954684
D,200009,0,2,750,0.012084129172055612,0.09921357277702783
D,200009,0,3,750,0.004468570367844465,0.13172048232871783
D,200009,0,4,750,0.0770891338874957,0.23788195515437083
D,200009,0,5,750,0.20510977023583016,0.41894683836911417
D,200009,1,0,750,0.0031280042422734684,0.07640540211800771
D,200009,1,1,750,0.002915522439104942,0.09812140777967063
D,200009,1,2,750,0.01390159036258801,0.08627343278752986
D,200009,1,3,750,0.007069614865596754,0.13126948206480962
D,200009,1,4,750,0.11135353972152734,0.22451678816984716
D,200009,1,5,750,0.24475416442094683,0.4035318880405812
D,200009,2,0,750,0.0041958762884140716,0.06563285561577016
D,200009,2,1,750,0.0039435659398402,0.08806641756744199
D,200009,2,2,750,0.027737706072455938,0.0999266272679927
D,200009,2,3,750,0.005665530186327424,0.13168323985258654
D,200009,2,4,750,0.08973052223518688,0.207370850008086
D,200009,2,5,750,0.1687892964627936,0.40843600477254327
D,300009,0,0,750,0.0025909737232095095,0.08559166803966993
D,300009,0,1,750,0.0029186972871213233,0.10002481393746715
D,300009,0,2,750,0.0051687820279164316,0.11537704565185963
D,300009,0,3,750,0.0023654022866839326,0.14372936893401694
D,300009,0,4,750,0.1800451091276462,0.26728032726930684
D,300009,0,5,750,0.13835942070995885,0.35859619067590565
D,300009,1,0,750,0.003004093732179922,0.06151084948132392
D,300009,1,1,750,0.003345879041364208,0.09036542108863387
D,300009,1,2,750,0.008074304019400437,0.08312507867859137
D,300009,1,3,750,0.0038055874718719764,0.13050083341966828
D,300009,1,4,750,0.11022224113431978,0.18821579594329688
D,300009,1,5,750,0.14667871093600507,0.35852380672323514
D,300009,2,0,750,0.0037077605524616867,0.1075894755669595
D,300009,2,1,750,0.004056355255501751,0.11861635767068088
D,300009,2,2,750,0.011427105687478428,0.13079306992260087
D,300009,2,3,750,0.00398337016170635,0.14937991364576347
D,300009,2,4,750,0.11143278162299705,0.33509965480104875
D,300009,2,5,750,0.18625086850784034,0.39999779795957635
