case,world,gate_attempts,train_seed,mix,heldout_l1,mc_floor_l1,loss,wall_s
B,0,1,0,0.0,0.2339904245562936,0.15290974385218317,0.07289975881576538,309.9152891635895
B,0,1,1,0.0,0.2371858666905243,0.15290974385218317,0.12695959210395813,350.74800658226013
B,0,1,2,0.0,0.2318161255202614,0.15290974385218317,0.07651950418949127,371.54811096191406
B,0,1,0,0.25,0.3429438996503231,0.15290974385218317,0.42292487621307373,380.336195230484
B,0,1,1,0.25,0.33369690028169136,0.15290974385218317,0.38857370615005493,378.5016143321991
B,0,1,2,0.25,0.34313251250609,0.15290974385218317,0.5977529287338257,304.71664357185364
B,0,1,0,0.5,0.34977895712192564,0.15290974385218317,0.749178409576416,371.5290973186493
B,0,1,1,0.5,0.3644559974727593,0.15290974385218317,0.9307080507278442,317.73158836364746
B,0,1,2,0.5,0.37133942817082705,0.15290974385218317,0.6619681119918823,322.38906478881836
B,0,1,0,1.0,0.540954904989407,0.15290974385218317,1.0374314785003662,145.61848974227905
B,0,1,1,1.0,0.5515243751276825,0.15290974385218317,1.3358533382415771,132.71791887283325
B,0,1,2,1.0,0.5165151593596218,0.15290974385218317,0.9627759456634521,182.2644350528717
B,100003,1,0,0.0,0.2615929477760393,0.14245928497289348,0.4592565596103668,341.37187123298645
B,100003,1,1,0.0,0.2751391651883546,0.14245928497289348,0.15316081047058105,366.08022904396057
B,100003,1,2,0.0,0.32269108961328413,0.14245928497289348,0.10903909802436829,392.9345107078552
B,100003,1,0,0.25,0.406647240272005,0.14245928497289348,1.304573893547058,384.44591903686523
B,100003,1,1,0.25,0.42109893719206914,0.14245928497289348,0.31989115476608276,363.61107754707336
B,100003,1,2,0.25,0.3947315746123575,0.14245928497289348,0.5407419204711914,392.71973752975464
B,100003,1,0,0.5,0.42349724173740666,0.14245928497289348,0.6967719793319702,350.5291907787323
B,100003,1,1,0.5,0.44814210154572165,0.14245928497289348,1.7973763942718506,360.34316515922546
B,100003,1,2,0.5,0.4615669253765908,0.14245928497289348,0.7191165685653687,340.6272072792053
B,100003,1,0,1.0,0.5970733671769627,0.14245928497289348,1.3675553798675537,146.1882884502411
B,100003,1,1,1.0,0.6063504282437798,0.14245928497289348,0.6353213787078857,126.6453869342804
B,100003,1,2,1.0,0.5934746618048906,0.14245928497289348,0.7003304958343506,122.12363648414612
B,200006,1,0,0.0,0.22241016800406646,0.15352589530223076,0.08713233470916748,369.4264304637909
B,200006,1,1,0.0,0.25456374656292907,0.15352589530223076,0.2895009517669678,406.91162037849426
B,200006,1,2,0.0,0.25608180410483655,0.15352589530223076,0.1570444107055664,399.39515709877014
B,200006,1,0,0.25,0.3788035482037708,0.15352589530223076,0.5335724353790283,339.3439636230469
B,200006,1,1,0.25,0.37536256429501713,0.15352589530223076,0.4798056185245514,348.5101959705353
B,200006,1,2,0.25,0.37190435795583954,0.15352589530223076,0.38563552498817444,354.32421350479126
B,200006,1,0,0.5,0.373897103072251,0.15352589530223076,0.6128225326538086,355.71011114120483
B,200006,1,1,0.5,0.3952651474539615,0.15352589530223076,0.3701820969581604,365.68805027008057
B,200006,1,2,0.5,0.43235426457157766,0.15352589530223076,0.7042311429977417,347.60803484916687
B,200006,1,0,1.0,0.5257771918396498,0.15352589530223076,0.900760293006897,120.48915958404541
B,200006,1,1,1.0,0.5752869927173376,0.15352589530223076,1.7341737747192383,129.08794522285461
B,200006,1,2,1.0,0.5657363324737205,0.15352589530223076,1.2558519840240479,201.39101147651672
B,300009,1,0,0.0,0.27080462245213843,0.13928827565349663,0.07363514602184296,542.3983423709869
B,300009,1,1,0.0,0.27374172354530324,0.13928827565349663,0.29780784249305725,521.5851445198059
B,300009,1,2,0.0,0.28429158206585653,0.13928827565349663,0.48054635524749756,606.3164863586426
B,300009,1,0,0.25,0.38869369620263566,0.13928827565349663,0.7424612045288086,512.2051646709442
B,300009,1,1,0.25,0.39098163910869144,0.13928827565349663,0.7279855608940125,516.1373612880707
B,300009,1,2,0.25,0.38402965493268637,0.13928827565349663,0.41919246315956116,609.032556772232
B,300009,1,0,0.5,0.37379670893139294,0.13928827565349663,0.7004383206367493,504.63804364204407
B,300009,1,1,0.5,0.39098153968567617,0.13928827565349663,0.7800331115722656,577.2394471168518
B,300009,1,2,0.5,0.3966012257837915,0.13928827565349663,0.9197118282318115,464.0204794406891
B,300009,1,0,1.0,0.5397036607645848,0.13928827565349663,1.1424109935760498,187.86944770812988
B,300009,1,1,1.0,0.5724154172191177,0.13928827565349663,1.59813392162323,166.79525709152222
B,300009,1,2,1.0,0.5639516876371999,0.13928827565349663,0.7774683237075806,159.8901240825653
