case,world,gate_attempts,train_seed,mix,heldout_l1,mc_floor_l1,loss,wall_s
C,0,1,0,0.0,0.16926150702954487,0.2053180624819843,0.040260426700115204,337.7729585170746
C,0,1,1,0.0,0.18349182221667987,0.2053180624819843,0.17384372651576996,345.73816990852356
C,0,1,2,0.0,0.18022411134188338,0.2053180624819843,0.5054309964179993,303.4134147167206
C,0,1,0,0.25,0.2810211373129265,0.2053180624819843,0.2508339285850525,328.8835380077362
C,0,1,1,0.25,0.3337942635819612,0.2053180624819843,0.6437547206878662,326.92123770713806
C,0,1,2,0.25,0.28609699041209946,0.2053180624819843,0.4042547643184662,294.4961187839508
C,0,1,0,0.5,0.3535917414415035,0.2053180624819843,0.462562620639801,291.96641206741333
C,0,1,1,0.5,0.37085085979559934,0.2053180624819843,0.39123642444610596,294.7264897823334
C,0,1,2,0.5,0.30834207029754196,0.2053180624819843,0.34163087606430054,353.95368003845215
C,0,1,0,1.0,0.4178834698920627,0.2053180624819843,0.5238901972770691,95.7456796169281
C,0,1,1,1.0,0.46272438230144514,0.2053180624819843,0.757635235786438,114.73936820030212
C,0,1,2,1.0,0.37270232622492433,0.2053180624819843,0.3026215732097626,170.19822478294373
C,100004,2,0,0.0,0.19775916884241354,0.1908783329533371,0.05163497105240822,360.5879819393158
C,100004,2,1,0.0,0.20209830737864284,0.1908783329533371,0.1170608252286911,328.4904646873474
C,100004,2,2,0.0,0.18626363492079334,0.1908783329533371,0.0456710085272789,265.0157468318939
C,100004,2,0,0.25,0.28598845370245307,0.1908783329533371,0.29990851879119873,317.6728346347809
C,100004,2,1,0.25,0.31733984759069594,0.1908783329533371,0.5031876564025879,339.11241269111633
C,100004,2,2,0.25,0.31862743564014534,0.1908783329533371,0.44901660084724426,363.10945677757263
C,100004,2,0,0.5,0.31342351362524984,0.1908783329533371,0.37633198499679565,287.08654952049255
C,100004,2,1,0.5,0.3961365517268311,0.1908783329533371,0.995650589466095,292.03304839134216
C,100004,2,2,0.5,0.33433735033197504,0.1908783329533371,1.0423082113265991,324.53347301483154
C,100004,2,0,1.0,0.4233844025881639,0.1908783329533371,0.6598178148269653,122.60466718673706
C,100004,2,1,1.0,0.4837518045783501,0.1908783329533371,1.2854623794555664,127.02101016044617
C,100004,2,2,1.0,0.4302724385696449,0.1908783329533371,0.7039455771446228,92.72067165374756
C,200006,1,0,0.0,0.19005812662909213,0.2045531543825225,0.039468757808208466,316.21316599845886
C,200006,1,1,0.0,0.16465762077670848,0.2045531543825225,0.1167348101735115,335.55510997772217
C,200006,1,2,0.0,0.15674653551197046,0.2045531543825225,0.03572802618145943,327.07163643836975
C,200006,1,0,0.25,0.2861786536205082,0.2045531543825225,0.811069130897522,337.5983431339264
C,200006,1,1,0.25,0.2711263148483553,0.2045531543825225,0.20936477184295654,376.14396619796753
C,200006,1,2,0.25,0.2395484676479739,0.2045531543825225,0.7315560579299927,356.0749680995941
C,200006,1,0,0.5,0.31556900784192093,0.2045531543825225,0.29170799255371094,276.36139607429504
C,200006,1,1,0.5,0.32503613477546145,0.2045531543825225,0.8248063325881958,368.3755142688751
C,200006,1,2,0.5,0.2884326495456476,0.2045531543825225,0.9236806631088257,344.55488109588623
C,200006,1,0,1.0,0.4004560950470267,0.2045531543825225,1.3107845783233643,155.0394947528839
C,200006,1,1,1.0,0.3851411088772232,0.2045531543825225,0.3648543059825897,99.62678456306458
C,200006,1,2,1.0,0.3664526688167694,0.2045531543825225,0.4246891736984253,120.7431423664093
C,300009,1,0,0.0,0.18247781272824998,0.1917668155910464,0.1247938722372055,332.0724129676819
C,300009,1,1,0.0,0.18816082491256478,0.1917668155910464,0.0462312325835228,355.1393654346466
C,300009,1,2,0.0,0.18070819124835177,0.1917668155910464,0.0438784584403038,332.6335988044739
C,300009,1,0,0.25,0.3819056711111734,0.1917668155910464,0.57706218957901,340.0383231639862
C,300009,1,1,0.25,0.3212265173013254,0.1917668155910464,0.6798675060272217,274.3732330799103
C,300009,1,2,0.25,0.3158519255758287,0.1917668155910464,0.2593008875846863,306.86428594589233
C,300009,1,0,0.5,0.3638142483277881,0.1917668155910464,0.9452488422393799,330.30868196487427
C,300009,1,1,0.5,0.3702336704976855,0.1917668155910464,0.7105459570884705,335.68437123298645
C,300009,1,2,0.5,0.3203189307923594,0.1917668155910464,0.21043555438518524,302.8454225063324
C,300009,1,0,1.0,0.45782544996586055,0.1917668155910464,0.859167218208313,95.83480501174927
C,300009,1,1,1.0,0.45727763685669726,0.1917668155910464,0.38759106397628784,144.99814677238464
C,300009,1,2,1.0,0.4880866692604144,0.1917668155910464,0.4859332740306854,162.45832324028015
