case,world,gate_attempts,train_seed,mix,heldout_l1,mc_floor_l1,loss,wall_s
D,1,2,0,0.0,0.1142417421770804,0.22530121452515084,0.01766328513622284,352.8335790634155
D,1,2,1,0.0,0.14754797148926943,0.22530121452515084,0.03978799656033516,357.39419198036194
D,1,2,2,0.0,0.11566193744809432,0.22530121452515084,0.015489010140299797,316.3711030483246
D,1,2,0,0.25,0.13649677966383134,0.22530121452515084,0.04800116643309593,356.24661564826965
D,1,2,1,0.25,0.13761844986569327,0.22530121452515084,0.03143603354692459,360.1561608314514
D,1,2,2,0.25,0.11797278030687143,0.22530121452515084,0.01792558655142784,342.97997307777405
D,1,2,0,0.5,0.10844289338334935,0.22530121452515084,0.037226803600788116,372.46933341026306
D,1,2,1,0.5,0.14475272885919682,0.22530121452515084,0.050842173397541046,350.9497563838959
D,1,2,2,0.5,0.11181715577184188,0.22530121452515084,0.008037827908992767,361.6998016834259
D,1,2,0,1.0,0.1529761130880677,0.22530121452515084,0.057534731924533844,153.76065373420715
D,1,2,1,1.0,0.11395949465543855,0.22530121452515084,0.027760224416851997,147.22778224945068
D,1,2,2,1.0,0.14147420551985515,0.22530121452515084,0.03557963669300079,176.40802717208862
D,100011,9,0,0.0,0.1119675800482081,0.22403939249733654,0.012160109356045723,353.3608396053314
D,100011,9,1,0.0,0.12967185427827002,0.22403939249733654,0.021853486075997353,334.42031168937683
D,100011,9,2,0.0,0.12149360163970731,0.22403939249733654,0.016483915969729424,320.28557443618774
D,100011,9,0,0.25,0.12343205936161365,0.22403939249733654,0.01982898637652397,367.94477820396423
D,100011,9,1,0.25,0.14133491176630655,0.22403939249733654,0.033486269414424896,374.6535243988037
D,100011,9,2,0.25,0.12966657796541822,0.22403939249733654,0.01510843075811863,337.9909665584564
D,100011,9,0,0.5,0.12328850184280743,0.22403939249733654,0.04506343603134155,367.9011001586914
D,100011,9,1,0.5,0.15696705496627036,0.22403939249733654,0.020807672291994095,339.34666419029236
D,100011,9,2,0.5,0.13045158705007717,0.22403939249733654,0.01812463440001011,385.17867946624756
D,100011,9,0,1.0,0.13472059011781587,0.22403939249733654,0.019603367894887924,141.09224605560303
D,100011,9,1,1.0,0.1671374378522398,0.22403939249733654,0.09985354542732239,137.7955298423767
D,100011,9,2,1.0,0.1496019166867004,0.22403939249733654,0.05336616560816765,157.47658252716064
D,200009,4,0,0.0,0.11561655385732404,0.2151340485962635,0.00898759625852108,324.8655614852905
D,200009,4,1,0.0,0.12743498500876846,0.2151340485962635,0.023564565926790237,519.7164206504822
D,200009,4,2,0.0,0.12363259880236588,0.2151340485962635,0.015670079737901688,495.2209966182709
D,200009,4,0,0.25,0.12533773914136798,0.2151340485962635,0.01836608536541462,562.1321587562561
D,200009,4,1,0.25,0.1439199428887836,0.2151340485962635,0.0063110822811722755,556.7683415412903
D,200009,4,2,0.25,0.13347929786471535,0.2151340485962635,0.015965348109602928,591.1352939605713
D,200009,4,0,0.5,0.13645376867687986,0.2151340485962635,0.056100018322467804,519.5116126537323
D,200009,4,1,0.5,0.13812880434747782,0.2151340485962635,0.015982983633875847,538.7509210109711
D,200009,4,2,0.5,0.1294755946335033,0.2151340485962635,0.01618279330432415,404.137558221817
D,200009,4,0,1.0,0.15423532065795176,0.2151340485962635,0.026186451315879822,229.10952472686768
D,200009,4,1,1.0,0.1460111960501023,0.2151340485962635,0.03181163966655731,110.4741587638855
D,200009,4,2,1.0,0.15138748403283328,0.2151340485962635,0.03281935304403305,116.85977983474731
D,300009,1,0,0.0,0.12748043310842577,0.21956060250264497,0.011903315782546997,325.88581824302673
D,300009,1,1,0.0,0.14090259598983745,0.21956060250264497,0.027615360915660858,356.18987488746643
D,300009,1,2,0.0,0.13070500554196715,0.21956060250264497,0.00780286081135273,310.1866703033447
D,300009,1,0,0.25,0.12396764852466986,0.21956060250264497,0.01749616488814354,297.8143708705902
D,300009,1,1,0.25,0.14058401759415795,0.21956060250264497,0.011903295293450356,332.18188643455505
D,300009,1,2,0.25,0.14773023542049582,0.21956060250264497,0.015197926200926304,306.05985617637634
D,300009,1,0,0.5,0.12809206384891658,0.21956060250264497,0.028553759679198265,352.4669589996338
D,300009,1,1,0.5,0.1343747799339982,0.21956060250264497,0.014252985827624798,355.54318857192993
D,300009,1,2,0.5,0.15828091484174014,0.21956060250264497,0.015531446784734726,390.8348801136017
D,300009,1,0,1.0,0.16549274801243863,0.21956060250264497,0.047032177448272705,125.47578144073486
D,300009,1,1,1.0,0.137028046453383,0.21956060250264497,0.04530160129070282,114.51739382743835
D,300009,1,2,1.0,0.1470460980973144,0.21956060250264497,0.02315990999341011,124.27009677886963
