case,world,gate_attempts,train_seed,heldout_l1,mc_floor_l1,loss,wall_s
C,0,1,0,0.3535917414415035,0.2053180624819843,0.462562620639801,579.1651413440704
C,0,1,1,0.37085085979559934,0.2053180624819843,0.39123642444610596,570.7584662437439
C,0,1,2,0.30834207029754196,0.2053180624819843,0.34163087606430054,565.0829334259033
C,100004,2,0,0.31342351362524984,0.1908783329533371,0.37633198499679565,578.1793401241302
C,100004,2,1,0.3961365517268311,0.1908783329533371,0.995650589466095,568.0631628036499
C,100004,2,2,0.33433735033197504,0.1908783329533371,1.0423082113265991,561.2210958003998
C,200006,1,0,0.31556900784192093,0.2045531543825225,0.29170799255371094,427.428035736084
C,200006,1,1,0.32503613477546145,0.2045531543825225,0.8248063325881958,435.29397225379944
C,200006,1,2,0.2884326495456476,0.2045531543825225,0.9236806631088257,299.17087864875793
C,300009,1,0,0.3638142483277881,0.1917668155910464,0.9452488422393799,429.71153354644775
C,300009,1,1,0.3702336704976855,0.1917668155910464,0.7105459570884705,418.6854155063629
C,300009,1,2,0.3203189307923594,0.1917668155910464,0.21043555438518524,348.39225721359253
