case,world,gate_attempts,train_seed,heldout_l1,mc_floor_l1,loss,wall_s
D,1,2,0,0.10844289338334935,0.22530121452515084,0.037226803600788116,447.32177996635437
D,1,2,1,0.14475272885919682,0.22530121452515084,0.050842173397541046,366.69047713279724
D,1,2,2,0.11181715577184188,0.22530121452515084,0.008037827908992767,334.9331912994385
D,100011,9,0,0.12328850184280743,0.22403939249733654,0.04506343603134155,454.6178946495056
D,100011,9,1,0.15696705496627036,0.22403939249733654,0.020807672291994095,355.63437485694885
D,100011,9,2,0.13045158705007717,0.22403939249733654,0.01812463440001011,352.7105040550232
D,200009,4,0,0.13645376867687986,0.2151340485962635,0.056100018322467804,461.74366903305054
D,200009,4,1,0.13812880434747782,0.2151340485962635,0.015982983633875847,395.1603419780731
D,200009,4,2,0.1294755946335033,0.2151340485962635,0.01618279330432415,349.568706035614
D,300009,1,0,0.12809206384891658,0.21956060250264497,0.028553759679198265,452.2939531803131
D,300009,1,1,0.1343747799339982,0.21956060250264497,0.014252985827624798,393.9835035800934
D,300009,1,2,0.15828091484174014,0.21956060250264497,0.015531446784734726,372.6146914958954
