case,world,gate_attempts,train_seed,heldout_l1,mc_floor_l1,loss,wall_s
B,0,1,0,0.5293183309414738,0.1594463458141172,2.1089577674865723,1430.3753612041473
B,0,1,1,0.5280987141209517,0.1594463458141172,1.3888428211212158,1810.8161091804504
B,0,1,2,0.5653302046118406,0.1594463458141172,2.2037596702575684,791.5229754447937
B,100003,1,0,0.5440019403218695,0.1565891126549056,2.229433059692383,1435.9181728363037
B,100003,1,1,0.5418561135530613,0.1565891126549056,1.6398019790649414,1781.4505870342255
B,100003,1,2,0.5661407818763008,0.1565891126549056,2.322230577468872,784.1314582824707
B,200006,1,0,0.5343208253760966,0.1509129974552191,2.594214916229248,1420.5248141288757
B,200006,1,1,0.5357432777810425,0.1509129974552191,1.6761536598205566,1811.48202586174
B,200006,1,2,0.5485531763547978,0.1509129974552191,2.6370601654052734,789.1504487991333
B,300009,1,0,0.5434832815512413,0.15034793203813454,3.1047730445861816,1436.5186161994934
B,300009,1,1,0.5672195826801788,0.15034793203813454,2.4233860969543457,1770.879801750183
B,300009,1,2,0.5722395342084448,0.15034793203813454,2.8126747608184814,787.0152564048767
