case,world,gate_attempts,train_seed,heldout_l1,mc_floor_l1,loss,wall_s
C,0,1,0,0.23068942544904025,0.1989173864477715,0.10359744727611542,437.9598307609558
C,0,1,1,0.26585234678012876,0.1989173864477715,0.1756771206855774,497.0022077560425
C,0,1,2,0.2717847595176771,0.1989173864477715,0.2716418504714966,475.5685729980469
C,100004,2,0,0.27231837177209534,0.19035855776249425,0.1543983668088913,513.7416098117828
C,100004,2,1,0.25669794152229264,0.19035855776249425,0.7236606478691101,530.7335224151611
C,100004,2,2,0.2715175333071549,0.19035855776249425,0.4030115604400635,469.62885904312134
C,200006,1,0,0.26618910324767225,0.19862398368299103,0.23518787324428558,492.2171428203583
C,200006,1,1,0.28195883427900387,0.19862398368299103,1.346750020980835,517.6163957118988
C,200006,1,2,0.2187457454182584,0.19862398368299103,0.1156553402543068,501.82926774024963
C,300009,1,0,0.27282985727039094,0.19098793831024033,0.2100355625152588,477.39131689071655
C,300009,1,1,0.30675850028524876,0.19098793831024033,0.19862902164459229,523.2652287483215
C,300009,1,2,0.2612741507763447,0.19098793831024033,0.2542593479156494,480.2038872241974
